Season,Date,Home,Away,URL
2023/2024,17-12-2023,Liverpool,Manchester United,https://www.xscores.com/soccer/match/liverpool-vs-manchester-united/17-12-2023/2139591
2023/2024,13-03-2024,Bournemouth,Luton,https://www.xscores.com/soccer/match/bournemouth-vs-luton/13-03-2024/2273594
2023/2024,21-12-2023,Crystal Palace,Brighton,https://www.xscores.com/soccer/match/crystal-palace-vs-brighton/21-12-2023/2139586
2023/2024,22-12-2023,Aston Villa,Sheffield United,https://www.xscores.com/soccer/match/aston-villa-vs-sheffield-united/22-12-2023/2139587
2023/2024,23-12-2023,WestHam,Manchester United,https://www.xscores.com/soccer/match/west-ham-vs-manchester-united/23-12-2023/2139600
2023/2024,23-12-2023,Fulham,Burnley,https://www.xscores.com/soccer/match/fulham-vs-burnley/23-12-2023/2139594
2023/2024,23-12-2023,Luton,Newcastle,https://www.xscores.com/soccer/match/luton-vs-newcastle/23-12-2023/2139596
2023/2024,23-12-2023,Nottingham Forest,Bournemouth,https://www.xscores.com/soccer/match/nottingham-forest-vs-bournemouth/23-12-2023/2139598
2023/2024,23-12-2023,Tottenham,Everton,https://www.xscores.com/soccer/match/tottenham-vs-everton/23-12-2023/2139599
2023/2024,23-12-2023,Liverpool,Arsenal,https://www.xscores.com/soccer/match/liverpool-vs-arsenal/23-12-2023/2139595
2023/2024,24-12-2023,Wolverhampton,Chelsea,https://www.xscores.com/soccer/match/wolverhampton-vs-chelsea/24-12-2023/2139608
2023/2024,20-02-2024,Manchester City,Brentford,https://www.xscores.com/soccer/match/manchester-city-vs-brentford/20-02-2024/2139597
2023/2024,26-12-2023,Newcastle,Nottingham Forest,https://www.xscores.com/soccer/match/newcastle-vs-nottingham-forest/26-12-2023/2139616
2023/2024,26-12-2023,Bournemouth,Fulham,https://www.xscores.com/soccer/match/bournemouth-vs-fulham/26-12-2023/2139607
2023/2024,26-12-2023,Sheffield United,Luton,https://www.xscores.com/soccer/match/sheffield-united-vs-luton/26-12-2023/2139615
2023/2024,26-12-2023,Burnley,Liverpool,https://www.xscores.com/soccer/match/burnley-vs-liverpool/26-12-2023/2139604
2023/2024,26-12-2023,Manchester United,Aston Villa,https://www.xscores.com/soccer/match/manchester-united-vs-aston-villa/26-12-2023/2139602
2023/2024,27-12-2023,Brentford,Wolverhampton,https://www.xscores.com/soccer/match/brentford-vs-wolverhampton/27-12-2023/2139605
2023/2024,27-12-2023,Chelsea,Crystal Palace,https://www.xscores.com/soccer/match/chelsea-vs-crystal-palace/27-12-2023/2139603
2023/2024,27-12-2023,Everton,Manchester City,https://www.xscores.com/soccer/match/everton-vs-manchester-city/27-12-2023/2139601
