URL,Home Team,Away Team,date,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/newcastle-vs-leeds/17-09-2021/319161,Newcastle,Leeds,2021-09-17T20:00:00,Regular goal,0-1,Raphinha,13,0
https://www.xscores.com/soccer/match/newcastle-vs-leeds/17-09-2021/319161,Newcastle,Leeds,2021-09-17T20:00:00,Regular goal,1-1,Allan Saint-Maximin,44,0
https://www.xscores.com/soccer/match/wolverhampton-vs-brentford/18-09-2021/319165,Wolverhampton,Brentford,2021-09-18T12:30:00,Penalty,0-1,Ivan Toney,28,0
https://www.xscores.com/soccer/match/wolverhampton-vs-brentford/18-09-2021/319165,Wolverhampton,Brentford,2021-09-18T12:30:00,Regular goal,0-2,Bryan Mbeumo,34,0
https://www.xscores.com/soccer/match/burnley-vs-arsenal/18-09-2021/319158,Burnley,Arsenal,2021-09-18T15:00:00,Regular goal,0-1,Martin Oedegaard,30,0
https://www.xscores.com/soccer/match/liverpool-vs-crystal-palace/18-09-2021/319159,Liverpool,Crystal Palace,2021-09-18T15:00:00,Regular goal,1-0,Sadio Mane,43,0
https://www.xscores.com/soccer/match/liverpool-vs-crystal-palace/18-09-2021/319159,Liverpool,Crystal Palace,2021-09-18T15:00:00,Regular goal,2-0,Mohamed Salah,78,0
https://www.xscores.com/soccer/match/liverpool-vs-crystal-palace/18-09-2021/319159,Liverpool,Crystal Palace,2021-09-18T15:00:00,Regular goal,3-0,Naby Keita,89,0
https://www.xscores.com/soccer/match/norwich-vs-watford/18-09-2021/319162,Norwich,Watford,2021-09-18T15:00:00,Regular goal,0-1,Emmanuel Dennis,17,0
https://www.xscores.com/soccer/match/norwich-vs-watford/18-09-2021/319162,Norwich,Watford,2021-09-18T15:00:00,Regular goal,1-1,Teemu Pukki,35,0
https://www.xscores.com/soccer/match/norwich-vs-watford/18-09-2021/319162,Norwich,Watford,2021-09-18T15:00:00,Regular goal,1-2,Ismaila Sarr,63,0
https://www.xscores.com/soccer/match/norwich-vs-watford/18-09-2021/319162,Norwich,Watford,2021-09-18T15:00:00,Regular goal,1-3,Ismaila Sarr,80,0
