season,date,home_team,away_team,url
1996/1997,1996-09-28T01:00:00,Leicester,Leeds,https://www.xscores.com/soccer/match/leicester-vs-leeds/28-09-1996/1596818
1996/1997,1996-09-28T01:00:00,Southampton,Middlesbrough,https://www.xscores.com/soccer/match/southampton-vs-middlesbrough/28-09-1996/1596819
1996/1997,1996-09-29T01:00:00,Manchester United,Tottenham,https://www.xscores.com/soccer/match/manchester-united-vs-tottenham/29-09-1996/1596820
1996/1997,1996-09-29T01:00:00,West Ham,Liverpool,https://www.xscores.com/soccer/match/west-ham-vs-liverpool/29-09-1996/1596821
1996/1997,1996-09-30T01:00:00,Newcastle,Aston Villa,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/30-09-1996/1596822
1996/1997,1996-10-12T01:00:00,AFC Wimbledon,Sheffield Wednesday,https://www.xscores.com/soccer/match/afc-wimbledon-vs-sheffield-wednesday/12-10-1996/1596830
1996/1997,1996-10-12T01:00:00,Blackburn,Arsenal,https://www.xscores.com/soccer/match/blackburn-vs-arsenal/12-10-1996/1596823
1996/1997,1996-10-12T01:00:00,Derby,Newcastle,https://www.xscores.com/soccer/match/derby-vs-newcastle/12-10-1996/1596824
1996/1997,1996-10-12T01:00:00,Everton,West Ham,https://www.xscores.com/soccer/match/everton-vs-west-ham/12-10-1996/1596825
1996/1997,1996-10-12T01:00:00,Leeds,Nottingham Forest,https://www.xscores.com/soccer/match/leeds-vs-nottingham-forest/12-10-1996/1596826
1996/1997,1996-10-12T01:00:00,Leicester,Chelsea,https://www.xscores.com/soccer/match/leicester-vs-chelsea/12-10-1996/1596827
1996/1997,1996-10-12T01:00:00,Manchester United,Liverpool,https://www.xscores.com/soccer/match/manchester-united-vs-liverpool/12-10-1996/1596828
1996/1997,1996-10-12T01:00:00,Tottenham,Aston Villa,https://www.xscores.com/soccer/match/tottenham-vs-aston-villa/12-10-1996/1596829
1996/1997,1996-10-13T01:00:00,Coventry,Southampton,https://www.xscores.com/soccer/match/coventry-vs-southampton/13-10-1996/1596831
1996/1997,1996-10-14T01:00:00,Sunderland,Middlesbrough,https://www.xscores.com/soccer/match/sunderland-vs-middlesbrough/14-10-1996/1596832
1996/1997,1996-10-19T01:00:00,Arsenal,Coventry,https://www.xscores.com/soccer/match/arsenal-vs-coventry/19-10-1996/1596833
