URL,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/wolverhampton-vs-liverpool/16-09-2023/2139460,Regular goal,1-0,Hee-Chan Hwang,7,0
https://www.xscores.com/soccer/match/wolverhampton-vs-liverpool/16-09-2023/2139460,Regular goal,1-1,Cody Gakpo,55,0
https://www.xscores.com/soccer/match/wolverhampton-vs-liverpool/16-09-2023/2139460,Regular goal,1-2,Andrew Robertson,85,0
https://www.xscores.com/soccer/match/wolverhampton-vs-liverpool/16-09-2023/2139460,Own goal,1-3,Hugo Bueno,90,1
https://www.xscores.com/soccer/match/aston-villa-vs-crystal-palace/16-09-2023/2139474,Regular goal,0-1,Odsonne Edouard,47,0
https://www.xscores.com/soccer/match/aston-villa-vs-crystal-palace/16-09-2023/2139474,Regular goal,1-1,Jhon Duran,87,0
https://www.xscores.com/soccer/match/aston-villa-vs-crystal-palace/16-09-2023/2139474,Penalty,2-1,Douglas Luiz,90,8
https://www.xscores.com/soccer/match/aston-villa-vs-crystal-palace/16-09-2023/2139474,Regular goal,3-1,Leon Bailey,90,11
https://www.xscores.com/soccer/match/fulham-vs-luton/16-09-2023/2139466,Regular goal,1-0,Vinicius,65,0
https://www.xscores.com/soccer/match/manchester-united-vs-brighton/16-09-2023/2139465,Regular goal,0-1,Danny Welbeck,20,0
https://www.xscores.com/soccer/match/manchester-united-vs-brighton/16-09-2023/2139465,Regular goal,0-2,Pascal Gross,53,0
https://www.xscores.com/soccer/match/manchester-united-vs-brighton/16-09-2023/2139465,Regular goal,0-3,Joao Pedro,71,0
https://www.xscores.com/soccer/match/manchester-united-vs-brighton/16-09-2023/2139465,Regular goal,1-3,Hannibal Mejbri,73,0
https://www.xscores.com/soccer/match/tottenham-vs-sheffield-united/16-09-2023/2139457,Regular goal,0-1,Gustavo Hamer,73,0
https://www.xscores.com/soccer/match/tottenham-vs-sheffield-united/16-09-2023/2139457,Regular goal,1-1,Richarlison,90,8
https://www.xscores.com/soccer/match/tottenham-vs-sheffield-united/16-09-2023/2139457,Regular goal,2-1,Dejan Kulusevski,90,10
https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/16-09-2023/2139456,Regular goal,1-0,James Ward-Prowse,36,0
https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/16-09-2023/2139456,Regular goal,1-1,Jeremy Doku,46,0
https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/16-09-2023/2139456,Regular goal,1-2,Bernardo Silva,76,0
https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/16-09-2023/2139456,Regular goal,1-3,Erling Haaland,86,0
https://www.xscores.com/soccer/match/newcastle-vs-brentford/16-09-2023/2139459,Penalty,1-0,Callum Wilson,64,0
https://www.xscores.com/soccer/match/everton-vs-arsenal/17-09-2023/2139475,Regular goal,0-1,Leandro Trossard,69,0
https://www.xscores.com/soccer/match/nottingham-forest-vs-burnley/18-09-2023/2139458,Regular goal,0-1,Zeki Amdouni,41,0
https://www.xscores.com/soccer/match/nottingham-forest-vs-burnley/18-09-2023/2139458,Regular goal,1-1,Callum Hudson-Odoi,61,0
https://www.xscores.com/soccer/match/luton-vs-wolverhampton/23-09-2023/2139483,Regular goal,0-1,Pedro Neto,50,0
https://www.xscores.com/soccer/match/luton-vs-wolverhampton/23-09-2023/2139483,Penalty,1-1,Carlton Morris,65,0
https://www.xscores.com/soccer/match/manchester-city-vs-nottingham-forest/23-09-2023/2139482,Regular goal,1-0,Phil Foden,7,0
https://www.xscores.com/soccer/match/manchester-city-vs-nottingham-forest/23-09-2023/2139482,Regular goal,2-0,Erling Haaland,14,0
https://www.xscores.com/soccer/match/brentford-vs-everton/23-09-2023/2139462,Regular goal,0-1,Abdoulaye Doucoure,6,0
https://www.xscores.com/soccer/match/brentford-vs-everton/23-09-2023/2139462,Regular goal,1-1,Mathias Jensen,28,0
https://www.xscores.com/soccer/match/brentford-vs-everton/23-09-2023/2139462,Regular goal,1-2,James Tarkowski,67,0
https://www.xscores.com/soccer/match/brentford-vs-everton/23-09-2023/2139462,Regular goal,1-3,Dominic Calvert-Lewin,71,0
https://www.xscores.com/soccer/match/burnley-vs-manchester-united/23-09-2023/2139464,Regular goal,0-1,Bruno Fernandes,45,0
https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-09-2023/2139461,Own goal,1-0,Cristian Romero,26,0
https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-09-2023/2139461,Regular goal,1-1,Heung-Min Son,42,0
https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-09-2023/2139461,Penalty,2-1,Bukayo Saka,54,0
https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-09-2023/2139461,Regular goal,2-2,Heung-Min Son,55,0
